id,category,label,notice
27,A,Contract Dispute,"DISPUTE NOTICE — EXCLUSIVITY VIOLATION TO: Coastal Logistics Partners FROM: Meridian Freight Services DATE: June 10, 2024 This notice is issued to Coastal Logistics Partners regarding a breach of the exclusivity provisions in the Licensing Agreement dated September 12, 2022. Section 9.3 of that agreement grants Meridian Freight Services the exclusive right to distribute Coastal Logistics Partners's products within the the United Kingdom region. Meridian Freight Services has evidence that Coastal Logistics Partners has directly supplied products to Meridian Freight Services's clients and appointed competing distributors in the exclusive territory. This constitutes a material breach. Meridian Freight Services demands immediate cessation and compensation for lost revenues estimated at $15,000, with a response required within 21 business days."
28,C,Regulatory Compliance,"FINANCIAL REPORTING NON-COMPLIANCE NOTICE TO: FastBuy E-Commerce Ltd. FROM: Consumer Protection Bureau DATE: May 16, 2025 Consumer Protection Bureau has determined that FastBuy E-Commerce Ltd. has failed to file its quarterly financial disclosure reports as required under Section 12.5 of the California Consumer Privacy Act (CCPA). Reports for the periods ending Q1 2023 remain outstanding as of this date. This constitutes a violation of mandatory reporting obligations. FastBuy E-Commerce Ltd. is directed to file all outstanding reports within 30 business days. A late filing fee of $50,000 per report will be assessed. Continued non-compliance will result in suspension of FastBuy E-Commerce Ltd.'s operating license and referral for criminal investigation under applicable statutes."
29,A,Contract Dispute,"NOTICE OF CONTRACT TERMINATION FOR CAUSE TO: Orion Dynamics Inc. FROM: Vertex Solutions LLC DATE: March 25, 2025 This notice serves to inform Orion Dynamics Inc. that Vertex Solutions LLC is exercising its right to terminate the Distribution Agreement dated February 14, 2023 for cause, pursuant to Section 3.4. The grounds for termination include repeated failure to meet minimum purchase commitments and unauthorized sub-distribution to third parties. Vertex Solutions LLC demands return of all proprietary materials within 7 days and full accounting of sales records for the period Q2 2024. All outstanding payments of $75,000 remain due and payable immediately."
30,C,Regulatory Compliance,"FOOD SAFETY COMPLIANCE ENFORCEMENT NOTICE TO: Premier Food Processing Corp. FROM: Food Safety Regulatory Board DATE: November 27, 2024 An inspection of Premier Food Processing Corp.'s food processing facility conducted on November 1, 2022 identified critical violations of the Financial Industry Regulatory Authority (FINRA) Rule 4370, including improper temperature control, inadequate pest management, and failure to maintain required sanitation logs. These conditions present an imminent public health hazard. Premier Food Processing Corp. is directed to immediately suspend production, remediate all identified deficiencies, and submit documentary evidence of compliance within 7 days. A re-inspection will follow. Non-compliance will result in mandatory facility closure, product seizure, and imposition of fines of $1,000,000 per violation per day."
31,C,Regulatory Compliance,"NOTICE OF DATA PROTECTION BREACH TO: StreamLine Networks Ltd. FROM: Telecommunications Regulatory Office DATE: June 10, 2024 Pursuant to the Financial Industry Regulatory Authority (FINRA) Rule 4370, Telecommunications Regulatory Office hereby notifies StreamLine Networks Ltd. of its failure to report a personal data breach within the mandatory 10-hour notification window. The breach, which occurred on September 12, 2022, affected the personal data of approximately 300 individuals. StreamLine Networks Ltd.'s failure to notify affected individuals and this authority constitutes a serious infringement. StreamLine Networks Ltd. is directed to submit a full incident report, including root cause analysis and remediation steps, within 10 business days. Non-compliance may result in administrative fines of up to $150,000 or 10% of annual global turnover, whichever is greater."
32,A,Contract Dispute,"NOTICE OF MATERIAL MISREPRESENTATION TO: Arbor Investment Holdings FROM: Keystone Financial Services DATE: October 14, 2024 This notice is issued pursuant to the Vendor Agreement dated November 1, 2022. Keystone Financial Services has discovered that representations made by Arbor Investment Holdings in Schedule B of the agreement were materially false and misleading. Specifically, Arbor Investment Holdings falsely represented its technical certifications and compliance credentials. This misrepresentation induced Keystone Financial Services into the contract and has caused direct damages of $350,000. Keystone Financial Services demands rescission of the agreement and full restitution within 7 calendar days, failing which legal proceedings will be commenced without further notice."
33,B,Intellectual Property Claim,"NOTICE OF PLAGIARISM AND COPYRIGHT VIOLATION TO: ByteStream Technologies Inc. FROM: NovaTech Patents LLC DATE: March 3, 2024 NovaTech Patents LLC is the author and copyright holder of the work 'Secure Multi-Party Computation Protocol', published in 2019. A detailed comparison confirms that ByteStream Technologies Inc.'s publication 'LinkBridge System', released on August 20, 2023, reproduces substantial portions of NovaTech Patents LLC's work verbatim without attribution or license. This constitutes copyright infringement under 17 U.S.C. § 501. NovaTech Patents LLC demands immediate withdrawal of the infringing publication, public attribution, and payment of licensing fees retroactively calculated at $15,000. A written response is required within 14 days or NovaTech Patents LLC will pursue all legal remedies including statutory damages."
34,B,Intellectual Property Claim,"NOTICE OF TRADE SECRET MISAPPROPRIATION TO: LifeScience Ventures Corp. FROM: BioMed IP Group DATE: November 27, 2024 BioMed IP Group hereby provides notice that LifeScience Ventures Corp. has misappropriated trade secrets belonging to BioMed IP Group in violation of the Defend Trade Secrets Act (18 U.S.C. § 1836). The misappropriated information includes proprietary algorithms, manufacturing processes, and customer data compiled over 9 years of investment. This information was wrongfully acquired through a former BioMed IP Group employee now working at LifeScience Ventures Corp.. BioMed IP Group demands an immediate halt to any use of such information, preservation of all relevant records, and a written response within 7 days, failing which an application for emergency injunctive relief will be filed."
35,B,Intellectual Property Claim,"TRADEMARK INFRINGEMENT AND PASSING-OFF NOTICE TO: LifeScience Ventures Corp. FROM: BioMed IP Group DATE: August 19, 2024 BioMed IP Group is the registered owner of the trademark 'STREAMLINE' (Registration No. TXU-1434), covering goods and services in Class 16. LifeScience Ventures Corp. has been using a confusingly similar mark 'DataStream Analyzer' in commerce, likely to cause consumer confusion and dilute BioMed IP Group's brand. This use constitutes trademark infringement under 15 U.S.C. § 1114 and passing-off under common law. BioMed IP Group demands immediate discontinuation of all use of the infringing mark, withdrawal of all related marketing materials, and a written response within 14 days. Legal action will follow without further notice if these demands are not met."
36,A,Contract Dispute,"NOTICE OF NON-COMPETE VIOLATION TO: Delta Supply Chain Corp. FROM: Apex Manufacturing Co. DATE: September 5, 2024 Pursuant to Section 9.3 of the Employment and Consulting Agreement dated May 5, 2023, this notice serves to advise Delta Supply Chain Corp. of a clear violation of the non-compete and non-solicitation provisions. Delta Supply Chain Corp. has engaged in directly competitive business activities and solicited Apex Manufacturing Co.'s clients within the restricted period and geography. Apex Manufacturing Co. demands immediate cessation of all such activities. Continued violations will result in an application for injunctive relief and a claim for liquidated damages as specified in the agreement, estimated at $350,000."
37,A,Contract Dispute,"NOTICE OF CONTRACT BREACH TO: Coastal Logistics Partners FROM: Meridian Freight Services DATE: July 8, 2024 This notice is to formally advise that Coastal Logistics Partners has materially breached the Service Agreement dated March 1, 2022 by failing to deliver the contracted software modules within the agreed timeline. As of this date, 30 days have elapsed beyond the delivery deadline stipulated in Section 5.1. Meridian Freight Services hereby demands full performance or written remediation plan within 14 calendar days. Failure to cure this breach will result in termination of the agreement and pursuit of all available legal remedies, including damages of no less than $350,000."
38,B,Intellectual Property Claim,"COPYRIGHT INFRINGEMENT NOTICE TO: Global Brands Inc. FROM: TradeMark Shield LLC DATE: January 9, 2025 This notice is to inform Global Brands Inc. that certain content published on its platform constitutes infringement of copyrighted works owned by TradeMark Shield LLC, registered under U.S. Copyright Registration No. TXU-1434. The infringing material, identified as 'VisionAI Toolkit', reproduces substantial portions of TradeMark Shield LLC's protected work without authorization. Pursuant to 17 U.S.C. § 512, TradeMark Shield LLC demands immediate removal of the infringing content. TradeMark Shield LLC reserves the right to seek statutory damages of up to $50,000 per work infringed, plus attorney's fees, if prompt corrective action is not taken within 14 business days."
39,A,Contract Dispute,"DISPUTE NOTICE — EXCLUSIVITY VIOLATION TO: Delta Supply Chain Corp. FROM: Apex Manufacturing Co. DATE: April 15, 2024 This notice is issued to Delta Supply Chain Corp. regarding a breach of the exclusivity provisions in the Licensing Agreement dated January 15, 2022. Section 2.9 of that agreement grants Apex Manufacturing Co. the exclusive right to distribute Delta Supply Chain Corp.'s products within the Asia-Pacific region. Apex Manufacturing Co. has evidence that Delta Supply Chain Corp. has directly supplied products to Apex Manufacturing Co.'s clients and appointed competing distributors in the exclusive territory. This constitutes a material breach. Apex Manufacturing Co. demands immediate cessation and compensation for lost revenues estimated at $350,000, with a response required within 30 business days."
40,A,Contract Dispute,"NOTICE OF WARRANTY BREACH TO: Delta Supply Chain Corp. FROM: Apex Manufacturing Co. DATE: December 2, 2024 Apex Manufacturing Co. hereby notifies Delta Supply Chain Corp. of a warranty breach under the Equipment Supply Agreement dated May 5, 2023. The equipment delivered under Purchase Order #45986 has failed to perform to the specifications warranted in Section 5.1, exhibiting critical operational defects. Despite 14 days' notice provided on June 30, 2022, Delta Supply Chain Corp. has failed to repair or replace the defective units. Apex Manufacturing Co. now demands full replacement of all defective equipment or a refund of $350,000, and reserves all rights to consequential damages arising from production losses."
41,A,Contract Dispute,"DISPUTE NOTICE — SCOPE OF WORK TO: Harmon & Associates Ltd. FROM: SilverBridge Capital LLC DATE: April 15, 2024 SilverBridge Capital LLC hereby provides formal notice of a dispute regarding the scope of work under the Professional Services Contract dated October 1, 2023. Specifically, Harmon & Associates Ltd. has unilaterally performed services outside the agreed Statement of Work (Exhibit A), resulting in unauthorized charges of $50,000. Pursuant to Section 6.8 of the agreement, SilverBridge Capital LLC disputes these charges and requests a written justification within 14 days. If the parties cannot resolve this dispute amicably, the matter will be referred to mediation as specified in the contract."
42,B,Intellectual Property Claim,"DOMAIN NAME DISPUTE NOTICE TO: SynthLab Solutions FROM: Quantum IP Holdings DATE: April 7, 2025 Quantum IP Holdings is the owner of the federally registered trademark 'CLOUDPEAK' and the domain name streamline.ai. SynthLab Solutions has registered and is using the domain 'DataStream Analyzer', which is confusingly similar to Quantum IP Holdings's trademark and domain. This constitutes cybersquatting under the Anti-Cybersquatting Consumer Protection Act (15 U.S.C. § 1125(d)). Quantum IP Holdings demands immediate transfer of the disputed domain to Quantum IP Holdings without compensation. If voluntary transfer is not confirmed within 21 days, Quantum IP Holdings will initiate proceedings under ICANN's Uniform Domain Name Dispute Resolution Policy (UDRP) and seek all available legal remedies."
43,B,Intellectual Property Claim,"TRADEMARK INFRINGEMENT AND PASSING-OFF NOTICE TO: Digital Audio Networks FROM: SoundMark Entertainment DATE: July 8, 2024 SoundMark Entertainment is the registered owner of the trademark 'QUANTUMSEAL' (Registration No. TXU-1434), covering goods and services in Class 35. Digital Audio Networks has been using a confusingly similar mark 'FlowTrack Manager' in commerce, likely to cause consumer confusion and dilute SoundMark Entertainment's brand. This use constitutes trademark infringement under 15 U.S.C. § 1114 and passing-off under common law. SoundMark Entertainment demands immediate discontinuation of all use of the infringing mark, withdrawal of all related marketing materials, and a written response within 30 days. Legal action will follow without further notice if these demands are not met."
44,C,Regulatory Compliance,"ANTI-MONEY LAUNDERING COMPLIANCE DIRECTIVE TO: Premier Food Processing Corp. FROM: Food Safety Regulatory Board DATE: March 3, 2024 Pursuant to the Clean Air Act, 42 U.S.C. § 7401 et seq., Food Safety Regulatory Board has identified significant deficiencies in Premier Food Processing Corp.'s anti-money laundering (AML) controls. An audit conducted on March 1, 2022 found that Premier Food Processing Corp. failed to conduct adequate customer due diligence on 45000 high-risk accounts and did not file required Suspicious Activity Reports (SARs). These deficiencies constitute serious regulatory violations. Premier Food Processing Corp. must implement enhanced AML procedures and submit a remediation plan within 14 days. Failure to remediate will result in regulatory sanctions, including fines of up to $75,000 and potential license revocation."
45,A,Contract Dispute,"NOTICE OF CONTRACT TERMINATION FOR CAUSE TO: Orion Dynamics Inc. FROM: Vertex Solutions LLC DATE: May 22, 2024 This notice serves to inform Orion Dynamics Inc. that Vertex Solutions LLC is exercising its right to terminate the Distribution Agreement dated February 14, 2023 for cause, pursuant to Section 9.3. The grounds for termination include repeated failure to meet minimum purchase commitments and unauthorized sub-distribution to third parties. Vertex Solutions LLC demands return of all proprietary materials within 14 days and full accounting of sales records for the period Q1 2024. All outstanding payments of $100,000 remain due and payable immediately."
